testing_network,generating_network,target_class,som_mode,predicted_class,filename,fastlin_eps
Dense2x30,Dense1x60,0,independent,0,Dense1x60_0_independent.png,12.0703125
Dense2x30,Dense1x60,0,mean_relative,0,Dense1x60_0_mean_relative.png,8.5009765625
Dense2x30,Dense1x60,0,second_place_relative,0,Dense1x60_0_second_place_relative.png,13.49609375
Dense2x30,Dense1x60,1,independent,2,Dense1x60_1_independent.png,6.2353515625
Dense2x30,Dense1x60,1,mean_relative,2,Dense1x60_1_mean_relative.png,12.373046875
Dense2x30,Dense1x60,1,second_place_relative,1,Dense1x60_1_second_place_relative.png,7.51953125
Dense2x30,Dense1x60,3,independent,3,Dense1x60_3_independent.png,22.1337890625
Dense2x30,Dense1x60,3,mean_relative,3,Dense1x60_3_mean_relative.png,19.3359375
Dense2x30,Dense1x60,3,second_place_relative,3,Dense1x60_3_second_place_relative.png,21.865234375
Dense2x30,Dense2x12,0,independent,0,Dense2x12_0_independent.png,2.4658203125
Dense2x30,Dense2x12,0,mean_relative,0,Dense2x12_0_mean_relative.png,3.75
Dense2x30,Dense2x12,0,second_place_relative,0,Dense2x12_0_second_place_relative.png,10.4443359375
Dense2x30,Dense2x12,1,independent,2,Dense2x12_1_independent.png,11.552734375
Dense2x30,Dense2x12,1,mean_relative,2,Dense2x12_1_mean_relative.png,8.2861328125
Dense2x30,Dense2x12,1,second_place_relative,3,Dense2x12_1_second_place_relative.png,0.72265625
Dense2x30,Dense2x12,3,independent,3,Dense2x12_3_independent.png,12.8076171875
Dense2x30,Dense2x12,3,mean_relative,3,Dense2x12_3_mean_relative.png,11.2939453125
Dense2x30,Dense2x12,3,second_place_relative,3,Dense2x12_3_second_place_relative.png,16.4599609375
Dense2x30,Dense2x18,0,independent,0,Dense2x18_0_independent.png,14.98046875
Dense2x30,Dense2x18,0,mean_relative,0,Dense2x18_0_mean_relative.png,13.8232421875
Dense2x30,Dense2x18,0,second_place_relative,0,Dense2x18_0_second_place_relative.png,13.955078125
Dense2x30,Dense2x18,1,independent,2,Dense2x18_1_independent.png,11.376953125
Dense2x30,Dense2x18,1,mean_relative,2,Dense2x18_1_mean_relative.png,11.2255859375
Dense2x30,Dense2x18,1,second_place_relative,1,Dense2x18_1_second_place_relative.png,3.18359375
Dense2x30,Dense2x18,3,independent,3,Dense2x18_3_independent.png,16.806640625
Dense2x30,Dense2x18,3,mean_relative,3,Dense2x18_3_mean_relative.png,19.0380859375
Dense2x30,Dense2x18,3,second_place_relative,3,Dense2x18_3_second_place_relative.png,18.515625
Dense2x30,Dense2x19,0,independent,0,Dense2x19_0_independent.png,12.548828125
Dense2x30,Dense2x19,0,mean_relative,0,Dense2x19_0_mean_relative.png,13.857421875
Dense2x30,Dense2x19,0,second_place_relative,0,Dense2x19_0_second_place_relative.png,14.4287109375
Dense2x30,Dense2x19,1,independent,3,Dense2x19_1_independent.png,4.31640625
Dense2x30,Dense2x19,1,mean_relative,3,Dense2x19_1_mean_relative.png,4.4140625
Dense2x30,Dense2x19,1,second_place_relative,1,Dense2x19_1_second_place_relative.png,6.2060546875
Dense2x30,Dense2x19,3,independent,3,Dense2x19_3_independent.png,20.6298828125
Dense2x30,Dense2x19,3,mean_relative,3,Dense2x19_3_mean_relative.png,21.2109375
Dense2x30,Dense2x19,3,second_place_relative,3,Dense2x19_3_second_place_relative.png,15.8984375
Dense2x30,Dense2x20,0,independent,0,Dense2x20_0_independent.png,12.734375
Dense2x30,Dense2x20,0,mean_relative,0,Dense2x20_0_mean_relative.png,13.974609375
Dense2x30,Dense2x20,0,second_place_relative,0,Dense2x20_0_second_place_relative.png,14.775390625
